Очередность выполнения заказов на картоноделательную машину КП-06									6,88
 с 8-00 07.10.16 до 15-00 10.10.16									
Номер п/п	Заказ 1С	Потребитель	Марка, сорт	Формат, мм	Гильза	Масса, г/м2	Объем, тн	Срок выполнения	
13	2284	Гофроцех № 1 Хенкель	КТ-0,1,2	2050	100	200	7	07.10.16 9:00	
14	310	Гофроцех № 1	КТ-0,1,2	2100	100	175	10	07.10.16 10:00	1,5
15	246	Гофроцех № 1	КТ-0,1,2	2050	100	150	10	07.10.16 11:00	1,5
17	239	Гофроцех № 2 	КТ-0,1,2	1900	100	150	11	07.10.16 13:00	1,6
	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	13	07.10.16 15:00	1,9
18	ПрК00000424	КБ Менеджмент	КТ-0,1	1400	100	150	20	07.10.16 18:00	2,9
19	ПрК00000435	Уральская целлюлоза 	КТ-0,1	2100	100	150	34	07.10.16 23:00	4,9
20	247	Гофроцех № 1	КТ-0,1,2	2100	100	150	10	08.10.16 1:00	1,5
21	239	Гофроцех № 2 	КТ-0,1,2	1900	100	150	9	08.10.16 2:00	1,3
	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	10	08.10.16 3:00	1,5
22	307	Гофроцех № 2 	КТ-0,1,2	2200	100	175	9	08.10.16 5:00	1,3
	301	Гофроцех № 2 	КТ-0,1,2	1900	100	175	8	08.10.16 6:00	1,2
23	317	Гофроцех № 2 	КТ-0,1,2	2100	100	200	14	08.10.16 8:00	2,0
24	314	Гофроцех № 2 	КТ-0,1,2	1900	100	200	22	08.10.16 11:00	3,2
	320	Гофроцех № 2 	КТ-0,1,2	2200	100	200	26	08.10.16 15:00	3,8
25	323	Гофроцех № 1	КТ-0,1,2	2100	100	200	20	08.10.16 18:00	2,9
26	316	Гофроцех № 2 	КТ-0,1,2	2050	100	200	17	08.10.16 20:00	2,5
27	317	Гофроцех № 2 	КТ-0,1,2	2100	100	200	14	08.10.16 22:00	2,0
	315	Гофроцех № 2 	КТ-0,1,2	2000	100	200	13	09.10.16 0:00	1,9
28	304	Гофроцех № 2 	КТ-0,1,2	2100	100	175	17	09.10.16 2:00	2,5
29	302	Гофроцех № 2 	КТ-0,1,2	2000	100	175	10	09.10.16 3:00	1,5
	312	Гофроцех № 1	КТ-0,1,2	2140	100	175	11	09.10.16 6:00	1,6
30	ПрК00000436	Уральская целлюлоза 	КТ-0,1	2100	100	175	50	09.10.16 13:00	7,3
31	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	15	09.10.16 15:00	2,2
	239	Гофроцех № 2 	КТ-0,1,2	1900	100	150	13	09.10.16 17:00	1,9
32	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	23	09.10.16 20:00	3,3
	240	Гофроцех № 2 	КТ-0,1,2	2000	100	150	21	09.10.16 23:00	3,1
33	241	Гофроцех № 2 	КТ-0,1,2	2050	100	150	24	10.10.16 2:00	3,5
34	242	Гофроцех № 2 	КТ-0,1,2	2100	100	150	12	10.10.16 5:00	1,7
35	247	Гофроцех № 1	КТ-0,1,2	2100	100	150	10	10.10.16 6:00	1,5
36	241	Гофроцех № 2 	КТ-0,1,2	2050	100	150	11	10.10.16 8:00	1,6
37	246	Гофроцех № 1	КТ-0,1,2	2050	100	150	10	10.10.16 9:00	1,5
38	239	Гофроцех № 2 	КТ-0,1,2	1900	100	150	10	10.10.16 10:00	1,5
	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	12	10.10.16 13:00	1,7
39	240	Гофроцех № 2 	КТ-0,1,2	2000	100	150	8	10.10.16 14:00	1,2
	244	Гофроцех № 2 	КТ-0,1,2	2200	100	150	9	10.10.16 15:00	1,3
									
