Очередность выполнения заказов на Б-2300								7,88		7,3		
 с  08-00 07.10.16 до  17-00 10.10.16										7		
Номер п/п	Заказ 1С	Потребитель	Марка, сорт	Формат, мм	Масса, г/м2	Объем, тн	Срок выполнения					
							07.10.16 8:00					
27	390	Г/цех № 1	КТ-0,1	2050	150	16	07.10.16 10:00					
28	394	Г/цех № 2 	КТ-0,1	2050	150	16	07.10.16 12:00					
29	393	Г/цех № 2	КТ-0,1	2000	150	8	07.10.16 13:00					
30	384	Г/цех № 2 	КТ-0,1	2000	135	10	07.10.16 14:00					
простой по мех.части							07.10.16 19:00	5,0				
31	388	Г/цех № 2 	КТ-0,1	2200	135	25	07.10.16 22:00	3,2				
32	386	Г/цех № 2 	КТ-0,1	2100	135	17	08.10.16 0:00	2,2				
33	384	Г/цех № 2 	КТ-0,1	2000	135	15	08.10.16 2:00	1,9				
34	371	Г/цех № 2 влагопрочный	КТ-1,2В	2000	135	6	08.10.16 3:00	0,8				
35	ПрК00001506	РЭП (Талан)	КТ-1В	2100	135	19	08.10.16 5:00	2,4				
36	376	Г/цех № 1 влагопрочный	КТ-1,2В	2100	135	10	08.10.16 6:00	1,3				
37	370	Г/цех № 2 влагопрочный	КТ-1,2В	2200	120	6	08.10.16 7:00	0,8				
38	363	Г/цех № 2 влагопрочный	КТ-1,2В	2000	120	4	08.10.16 8:00	0,5				
39	353	Г/цех № 1 	КТ-0,1	2000	120	15	08.10.16 10:00	1,9				
40	2318	Гофроцех № 1 клееная	Б-1 У	2000	120	15	08.10.16 12:00	1,9				
41	2318	Гофроцех № 1 клееная	Б-1 У	2000	120	12	08.10.16 14:00	1,5				
42	2321	Гофроцех № 1 клееная 	Б-1 У	2140	120	20	08.10.16 17:00	2,5				
43	2319	Гофроцех № 1 клееная 	Б-1 У	2050	120	18	08.10.16 18:00	2,3				
44	2322	Гофроцех № 2 клееная 	Б-1 У	2000	120	10	08.10.16 19:00	1,3				
45	2323	Гофроцех № 2 клееная 	Б-1 У	2050	120	11	08.10.16 20:00	1,4				
46	2324	Гофроцех № 2 клееная 	Б-1 У	2100	120	17	08.10.16 22:00	2,2				
47	2326	Гофроцех № 2 клееная 	Б-1 У	2200	120	12	09.10.16 0:00	1,5				
48	2326	Гофроцех № 2 клееная 	Б-1 У	2200	120	22	09.10.16 3:00	2,8				
49	361	Г/цех № 2 	КТ-0,1	2200	120	6	09.10.16 4:00	0,8				
50	358	Г/цех № 2 	КТ-0,1	2050	120	6	09.10.16 5:00	0,8				
51	ПрК00000084	ЭВС 	КТ-0,1	1050	120	20	09.10.16 7:00	2,5				
52	385	Г/цех № 2 	КТ-0,1	2050	135	18	09.10.16 9:00	2,3				
53	388	Г/цех № 2 	КТ-0,1	2200	135	16	09.10.16 11:00	2,0				
54	386	Г/цех № 2 	КТ-0,1	2100	135	10	09.10.16 12:00	1,3				
55	384	Г/цех № 2 	КТ-0,1	2000	135	55	09.10.16 19:00	7,0				
56	386	Г/цех № 2 	КТ-0,1	2100	135	25	09.10.16 22:00	3,2				
57	385	Г/цех № 2 	КТ-0,1	2050	135	20	10.10.16 1:00	2,5				
58	388	Г/цех № 2 	КТ-0,1	2200	135	45	10.10.16 7:00	5,7				
59	746	Гофроцех № 2 неклееная 	Б-2,3	2200	112	20	10.10.16 10:00	2,5				
60	749	Гофроцех № 1 неклееная	Б-2,3	2050	112	10	10.10.16 11:00	1,3				
61	743	Гофроцех № 2 неклееная 	Б-2,3	2050	112	10	10.10.16 12:00	1,3				
62	741	Гофроцех № 2 неклееная 	Б-2,3	2000	112	15	10.10.16 14:00	1,9				
63	744	Гофроцех № 2 неклееная 	Б-2,3	2100	112	20	10.10.16 17:00	2,5																						
